Food_Code,Display_Name,Portion_Default,Portion_Amount,Portion_Display_Name,Factor,Increment,Multiplier,Grains,Whole_Grains,Vegetables,Orange_Vegetables,Drkgreen_Vegetables,Starchy_vegetables,Other_Vegetables,Fruits,Milk,Meats,Soy,Drybeans_Peas,Oils,Solid_Fats,Added_Sugars,Alcohol,Calories,Saturated_Fats,
12350000,Sour cream dip,1,0.25000,cup,0.25000,0.25000,1.00000,0.04799,0.00000,0.04070,0.00000,0.00000,0.00000,0.04070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,105.64850,1.57001,0.00000,133.65000,7.36898,
13110100,Ice cream  regular,1,1.00000,cup,1.00000,0.25000,0.25000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.29393,0.00000,0.00000,0.00000,0.00000,130.99968,95.20488,0.00000,267.33000,9.03070,
13110120,Ice cream  rich,1,1.00000,cup,1.00000,0.25000,0.25000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.25160,0.09620,0.00000,0.00000,0.00000,213.06672,96.10340,0.00000,368.52000,15.28840,
13110200,Soft serve ice cream,1,1.00000,cup,1.00000,0.25000,0.25000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.38233,0.00000,0.00000,0.00000,0.00000,170.39808,123.83793,0.00000,347.73000,11.74670,
13120100,Ice cream bar  chocolate covered,1,1.00000,bar (bar = 3 fl oz),1.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.09744,0.00000,0.00000,0.00000,0.00000,112.32144,45.54761,0.00000,169.12000,9.58720,
13120100,Ice cream bar  chocolate covered,2,1.00000,Klondike Krispy bar,1.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.16008,0.00000,0.00000,0.00000,0.00000,184.52808,74.82821,0.00000,277.84000,15.75040,
13120500,Ice cream sandwich,1,1.00000,sandwich,1.00000,0.50000,0.50000,0.53454,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.09912,0.00000,0.00000,0.00000,0.00000,49.46265,48.40002,0.00000,143.37000,3.23320,
13130300,Light ice cream,1,1.00000,cup,1.00000,0.25000,0.25000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.75980,0.00000,0.00000,0.00000,0.00000,45.60372,70.88353,0.00000,216.15000,3.39290,
13130600,Light soft serve ice cream,1,1.00000,cup,1.00000,0.25000,0.25000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.71750,0.00000,0.00000,0.00000,0.00000,39.65850,0.00000,0.00000,220.50000,2.85250,
13135000,Light ice cream sandwich,1,1.00000,sandwich,1.00000,0.50000,0.50000,0.54360,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.26520,0.00000,0.00000,0.00000,0.00000,21.21120,41.22339,0.00000,129.60000,1.36800,
13140100,Light ice cream bar,1,1.00000,bar (bar = 3 fl oz),1.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.25648,0.00000,0.00000,0.00000,0.00000,84.15288,37.81981,0.00000,153.44000,7.72800,
13140900,Light fudgesicle,1,1.00000,sicle (sicle = 2.5 fl oz),1.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.40661,0.00000,0.00000,0.00000,0.00000,27.86337,37.92188,0.00000,121.91000,2.03670,
13150000,Sherbet,1,1.00000,cup,1.00000,0.25000,0.25000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.11387,0.21423,0.00000,0.00000,0.00000,0.04932,18.20376,151.04761,0.00000,277.92000,2.23880,
13150000,Sherbet,2,1.00000,push up,1.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03894,0.07326,0.00000,0.00000,0.00000,0.01687,6.22512,51.65359,0.00000,95.04000,0.76560,
13160150,Low fat  low sugar ice milk,1,1.00000,cup,1.00000,0.25000,0.25000,0.04176,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.43344,0.08928,0.00000,0.00000,0.35200,7.97040,73.98561,0.00000,152.64000,0.89280,
14104010,Cheese (cheddar  Swiss),2,0.25000,cup shredded,0.25000,0.25000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.66444,0.00000,0.00000,0.00000,0.00000,83.06347,0.00000,0.00000,113.84750,5.95793,
14104010,Cheese (cheddar  Swiss),2,1.00000,cubic inch,1.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.39984,0.00000,0.00000,0.00000,0.00000,49.98510,0.00000,0.00000,68.51000,3.58530,
14104400,Feta or goat cheese,1,0.25000,cup crumbled,0.25000,0.25000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.66150,0.00000,0.00000,0.00000,0.00000,70.62862,0.00000,0.00000,99.00000,5.60625,
14104400,Feta or goat cheese,2,1.00000,wedge (wedge=1.3 oz),1.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.67032,0.00000,0.00000,0.00000,0.00000,71.57034,0.00000,0.00000,100.32000,5.68100,
14107030,Mozzarella cheese (part skim),1,1.00000,slice (slice = 1 oz),1.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.66679,0.00000,0.00000,0.00000,0.00000,49.90734,0.00000,0.00000,85.61700,3.59194,
14109030,Low fat cheddar or Swiss,2,0.25000,cup  shredded,0.25000,0.25000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.95229,0.00000,0.00000,0.00000,0.00000,10.67985,0.00000,0.00000,48.00000,0.89200,
14109030,Low fat cheddar or Swiss,2,1.00000,cubic inch,1.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.52905,0.00000,0.00000,0.00000,0.00000,5.93325,0.00000,0.00000,27.00000,0.49600,
14201010,Cottage cheese  creamed,1,0.50000,cup,0.50000,0.25000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.20055,0.00000,0.00000,0.00000,0.00000,42.26040,0.00000,0.00000,108.15000,2.99250,
14201500,Ricotta cheese,1,0.25000,cup,0.25000,0.25000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000,0.00000,0.00000,0.00000,56.93855,0.00000,0.00000,95.94000,4.06515,
14204010,Lowfat cottage cheese,1,0.50000,cup,0.50000,0.25000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.24973,0.00000,0.00000,0.00000,0.00000,9.92592,0.00000,0.00000,81.36000,0.73450,
14301010,Cream cheese (regular),1,1.00000,Tablespoon,1.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,45.50535,0.00000,0.00000,50.60500,3.18565,
14301010,Cream cheese (regular),2,1.00000,Tablespoon  whipped,1.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,31.38300,0.00000,0.00000,34.90000,2.19700,
14301010,Cream cheese (regular),2,1.00000,individual container,1.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,88.97080,0.00000,0.00000,98.94150,6.22850,
14303010,Low fat cream cheese,1,1.00000,Tablespoon,1.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,23.76000,0.00000,0.00000,34.65000,1.66350,
14303010,Low fat cream cheese,2,1.00000,Tablespoon  whipped,1.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,15.84000,0.00000,0.00000,23.10000,1.10900,
14410200,American cheese (processed),1,1.00000,slice (slice = 3/4 oz),1.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.37044,0.00000,0.00000,0.00000,0.00000,48.56922,0.00000,0.00000,70.56000,3.26970,
14410200,American cheese (processed),2,0.25000,cup shredded,0.25000,0.25000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.49833,0.00000,0.00000,0.00000,0.00000,65.33717,0.00000,0.00000,94.92000,4.39853,
14410200,American cheese (processed),2,1.00000,cubic inch,1.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.30870,0.00000,0.00000,0.00000,0.00000,40.47435,0.00000,0.00000,58.80000,2.72475,
14410350,Fat-free American cheese,1,1.00000,slice (slice = 3/4 oz),1.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.49392,0.00000,0.00000,0.00000,0.00000,0.62370,0.00000,0.00000,31.08000,0.10500,
14410350,Fat-free American cheese,2,0.25000,cup shredded,0.25000,0.25000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.66444,0.00000,0.00000,0.00000,0.00000,0.83903,0.00000,0.00000,41.81000,0.14125,
14410350,Fat-free American cheese,2,1.00000,cubic inch,1.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.38102,0.00000,0.00000,0.00000,0.00000,0.48114,0.00000,0.00000,23.97600,0.08100,
14420100,Cheese spread or dip,2,1.00000,slice Velveeta,1.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.60976,0.00000,0.00000,0.00000,0.00000,65.05101,4.11272,0.00000,100.24333,4.60774,
14420100,Cheese spread or dip,1,4.00000,Tablespoons,0.25000,1.00000,0.25000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.07604,0.00000,0.00000,0.00000,0.00000,114.79590,7.25774,0.00000,176.90000,8.13130,
14620100,Cream cheese dip,1,2.00000,Tablespoons,2.00000,1.00000,0.50000,0.00000,0.00000,0.00360,0.00000,0.00000,0.00000,0.00360,0.00000,0.00000,0.00660,0.00000,0.00000,0.49133,76.29120,0.28282,0.00000,106.20000,5.67000,
14650100,Cheese sauce,1,0.25000,cup,0.25000,0.25000,1.00000,0.12636,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.47871,0.00000,0.00000,0.00000,0.00000,70.91348,0.00000,0.00000,109.35000,3.65107,
14650150,Cheese sauce  low fat,1,0.25000,cup,0.25000,0.25000,1.00000,0.11178,0.00000,0.00061,0.00000,0.00000,0.00000,0.00061,0.00000,0.55890,0.00182,0.00000,0.00000,0.00000,39.96196,0.30610,0.00000,79.58250,1.69493,
14650160,Alfredo sauce,1,0.25000,cup,0.25000,0.25000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.45502,0.00000,0.00000,0.00000,0.00000,223.76291,0.00000,0.00000,249.07500,15.65527,
14660200,Fried cheese sticks,1,3.00000,"pieces or 4"" sticks",3.00000,1.00000,0.33333,1.17744,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.60568,0.22044,0.00528,0.00000,0.00381,273.53700,4.39833,0.00000,502.92000,16.35480,
21101120,Grilled steak (eat lean & fat),1,1.00000,medium steak,1.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.74832,0.00000,0.00000,0.00000,123.56280,0.00000,0.00000,516.12000,11.95440,
21101120,Grilled steak (eat lean & fat),2,1.00000,large steak,1.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,8.99776,0.00000,0.00000,0.00000,164.75040,0.00000,0.00000,688.16000,15.93920,
21101120,Grilled steak (eat lean & fat),2,1.00000,small steak,1.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5.06124,0.00000,0.00000,0.00000,92.67210,0.00000,0.00000,387.09000,8.96580,
21101120,Grilled steak (eat lean & fat),2,4.00000,ounces cooked  no bone,4.00000,1.00000,0.25000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.04336,0.00000,0.00000,0.00000,55.72440,0.00000,0.00000,232.76000,5.39120,
21101130,Grilled steak (eat lean only),1,1.00000,medium steak,1.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5.50212,0.00000,0.00000,0.00000,5.96700,0.00000,0.00000,307.32000,4.72680,
21101130,Grilled steak (eat lean only),2,1.00000,large steak,1.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.37143,0.00000,0.00000,0.00000,7.99425,0.00000,0.00000,411.73000,6.33270,
21101130,Grilled steak (eat lean only),2,1.00000,small steak,1.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4.12659,0.00000,0.00000,0.00000,4.47525,0.00000,0.00000,230.49000,3.54510,
21101130,Grilled steak (eat lean only),2,4.00000,ounces cooked  no bone,4.00000,1.00000,0.25000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4.00000,0.00000,0.00000,0.00000,3.51900,0.00000,0.00000,181.24000,2.78760,
21102120,Fried steak (eat lean & fat),1,1.00000,medium steak,1.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.04248,0.00000,0.00000,0.00000,210.24036,0.00000,0.00000,587.52000,12.97440,
21102120,Fried steak (eat lean & fat),2,1.00000,large steak,1.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,8.05664,0.00000,0.00000,0.00000,280.32048,0.00000,0.00000,783.36000,17.29920,
21102120,Fried steak (eat lean & fat),2,1.00000,small steak,1.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4.53186,0.00000,0.00000,0.00000,157.68027,0.00000,0.00000,440.64000,9.73080,
21102120,Fried steak (eat lean & fat),2,4.00000,ounces cooked  no bone,4.00000,1.00000,0.25000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.72504,0.00000,0.00000,0.00000,94.81428,0.00000,0.00000,264.96000,5.85120,
21102130,Fried steak (eat lean only),1,1.00000,medium steak,1.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5.31180,0.00000,0.00000,0.00000,38.52576,0.00000,0.00000,358.80000,4.82040,
21102130,Fried steak (eat lean only),2,1.00000,large steak,1.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.11645,0.00000,0.00000,0.00000,51.61464,0.00000,0.00000,480.70000,6.45810,
21102130,Fried steak (eat lean only),2,1.00000,small steak,1.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.98385,0.00000,0.00000,0.00000,28.89432,0.00000,0.00000,269.10000,3.61530,
21102130,Fried steak (eat lean only),2,4.00000,ounces cooked  no bone,4.00000,1.00000,0.25000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4.00000,0.00000,0.00000,0.00000,22.72032,0.00000,0.00000,211.60000,2.84280,
21103120,Breaded fried steak (eat lean & fat),1,1.00000,medium steak,1.00000,0.50000,0.50000,1.97559,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.04617,5.32899,0.00972,0.00000,2.19672,242.86635,7.38598,0.00000,801.90000,16.11090,
21103120,Breaded fried steak (eat lean & fat),2,1.00000,large steak,1.00000,0.50000,0.50000,2.63412,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06156,7.10532,0.01296,0.00000,2.92896,323.82180,9.84797,0.00000,1069.20000,21.48120,
21103120,Breaded fried steak (eat lean & fat),2,1.00000,small steak,1.00000,0.50000,0.50000,1.47966,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03458,3.99126,0.00728,0.00000,1.64528,181.89990,5.53189,0.00000,600.60000,12.06660,
21103120,Breaded fried steak (eat lean & fat),2,4.00000,ounces cooked  no bone,4.00000,1.00000,0.25000,0.92194,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02155,2.48686,0.00454,0.00000,1.02514,113.33763,3.44679,0.00000,374.22000,7.51842,
21103130,Breaded fried steak (eat lean only),1,1.00000,medium steak,1.00000,0.50000,0.50000,1.51032,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03534,4.82856,0.00744,0.00000,1.68020,53.85258,5.65347,0.00000,515.22000,6.95640,
21103130,Breaded fried steak (eat lean only),2,1.00000,large steak,1.00000,0.50000,0.50000,2.01376,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.04712,6.43808,0.00992,0.00000,2.24027,71.80344,7.53796,0.00000,686.96000,9.27520,
21103130,Breaded fried steak (eat lean only),2,1.00000,small steak,1.00000,0.50000,0.50000,1.13680,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02660,3.63440,0.00560,0.00000,1.26467,40.53420,4.25530,0.00000,387.80000,5.23600,
21103130,Breaded fried steak (eat lean only),2,4.00000,ounces cooked  no bone,4.00000,1.00000,0.25000,0.87696,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02052,2.80368,0.00432,0.00000,0.97560,31.26924,3.28266,0.00000,299.16000,4.03920,
21304220,BBQ short ribs with sauce,1,1.00000,medium rib,1.00000,1.00000,1.00000,0.06375,0.00000,0.00459,0.00000,0.00000,0.00000,0.00459,0.00000,0.00000,0.93534,0.00000,0.00000,0.00057,28.05408,3.76345,0.00000,107.61000,2.43780,
21304220,BBQ short ribs with sauce,2,1.00000,large rib,1.00000,1.00000,1.00000,0.08750,0.00000,0.00630,0.00000,0.00000,0.00000,0.00630,0.00000,0.00000,1.28380,0.00000,0.00000,0.00078,38.50560,5.16552,0.00000,147.70000,3.34600,
21304220,BBQ short ribs with sauce,2,1.00000,small rib,1.00000,1.00000,1.00000,0.02750,0.00000,0.00198,0.00000,0.00000,0.00000,0.00198,0.00000,0.00000,0.40348,0.00000,0.00000,0.00024,12.10176,1.62345,0.00000,46.42000,1.05160,
21401110,Roast beef (eat lean & fat),1,1.00000,medium slice,1.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.34988,0.00000,0.00000,0.00000,36.83232,0.00000,0.00000,111.72000,2.87280,
21401110,Roast beef (eat lean & fat),2,1.00000,thick slice,1.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.02482,0.00000,0.00000,0.00000,55.24848,0.00000,0.00000,167.58000,4.30920,
21401110,Roast beef (eat lean & fat),2,1.00000,thin slice,1.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.67494,0.00000,0.00000,0.00000,18.41616,0.00000,0.00000,55.86000,1.43640,
21401110,Roast beef (eat lean & fat),2,4.00000,ounces after cooking,4.00000,1.00000,0.25000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.64468,0.00000,0.00000,0.00000,99.44726,0.00000,0.00000,301.64400,7.75656,
21401120,Roast beef (eat lean only),1,1.00000,medium slice,1.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.48134,0.00000,0.00000,0.00000,6.37686,0.00000,0.00000,82.74000,1.36080,
21401120,Roast beef (eat lean only),2,1.00000,thick slice,1.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.22201,0.00000,0.00000,0.00000,9.56529,0.00000,0.00000,124.11000,2.04120,
21401120,Roast beef (eat lean only),2,1.00000,thin slice,1.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.74067,0.00000,0.00000,0.00000,3.18843,0.00000,0.00000,41.37000,0.68040,
21401120,Roast beef (eat lean only),2,4.00000,ounces after cooking,4.00000,1.00000,0.25000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4.00000,0.00000,0.00000,0.00000,17.21752,0.00000,0.00000,223.39800,3.67416,
21417120,Beef brisket,1,1.00000,"medium slice  1/4 "" thick",1.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.44480,0.00000,0.00000,0.00000,9.53316,0.00000,0.00000,96.60000,1.73460,
21417120,Beef brisket,2,1.00000,thick slice,1.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.16720,0.00000,0.00000,0.00000,14.29974,0.00000,0.00000,144.90000,2.60190,
21417120,Beef brisket,2,1.00000,thin slice,1.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.72240,0.00000,0.00000,0.00000,4.76658,0.00000,0.00000,48.30000,0.86730,
21417120,Beef brisket,2,4.00000,ounces after cooking,4.00000,1.00000,0.25000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4.00000,0.00000,0.00000,0.00000,20.88216,0.00000,0.00000,211.60000,3.79960,
21501000,Ground beef (75% lean  regular),1,1.00000,medium patty (4 per pound),1.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.69110,0.00000,0.00000,0.00000,79.07040,0.00000,0.00000,234.60000,6.13700,
21501000,Ground beef (75% lean  regular),2,1.00000,ounce after cooking,1.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.88648,0.00000,0.00000,0.00000,26.04672,0.00000,0.00000,77.28000,2.02160,
21501000,Ground beef (75% lean  regular),2,1.00000,ounce raw (cooked yield),1.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.66486,0.00000,0.00000,0.00000,19.53504,0.00000,0.00000,57.96000,1.51620,
21501000,Ground beef (75% lean  regular),2,1.00000,large patty (3 per pound),1.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.57758,0.00000,0.00000,0.00000,105.11712,0.00000,0.00000,311.88000,8.15860,
21501000,Ground beef (75% lean  regular),2,1.00000,medium meatball,1.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.88648,0.00000,0.00000,0.00000,26.04672,0.00000,0.00000,77.28000,2.02160,
